ID,customerName,phoneNo,status,userEmail,password,createdAt,createdBy,modifiedAt,modifiedBy
3f9a2c7e-2d79-4b4b-98c2-a9f6d2e087fb,Rahul,9876543210,Active,rahul@gmail.com,P@ssw0rd1,2026-02-10,admin,2026-02-15,admin
b12e7c3a-4f55-4c83-9f4c-7c2ac91bb0c1,Anita,9123456780,Inactive,anita@gmail.com,Anita#2026,2026-01-25,system,2026-02-01,manager01
e89f77f1-5d3e-44ae-b1f4-2c8d0a3dc6e0,Suresh,9001122334,Active,suresh@gmail.com,Skumar!123,2026-03-01,admin,2026-03-02,admin
6c0f4e2d-9ad3-4ab1-8e2d-61d3c4bfbb85,Priya,9556677889,Pending,priya@gmail.com,Priya@789,2026-02-18,user01,2026-02-20,user01
9fdc4ae0-e21b-4e90-912c-5c22a77d3e24,Vivek,9887766554,Active,vivek@gmail..com,Vivek#pass,2026-02-28,system,2026-03-01,admin



















